"","HH","TH","Truth"
"1",0.24,0.251102224332602,0.155
"2",0.40625,0.448430295589898,0.11
"3",0,0,0.155
"4",0,0,0.14
"5",0.175,0.189361705489845,0.1375
"6",0.343636363636364,0.382247890615453,0.16
"7",0,0,0.155
"8",0,0,0.16
"9",0,0,0.15
"10",0.21304347826087,0.271779374018117,0.1275
"11",0.208333333333333,0.235689802193478,0.155
"12",0.3,0.313877780415753,0.1425
"13",0.1,0.099999999999999,0.165
"14",0,0,0.17
"15",0.1,0.099999999999999,0.15
"16",0.1,0.099999999999999,0.1425
"17",0.2125,0.229939213809097,0.1475
"18",0.181818181818182,0.203425155731484,0.1575
"19",0.245454545454545,0.263880808995833,0.135
"20",0.23125,0.273403700356087,0.1525
"21",0,0,0.145
"22",0,0,0.1375
"23",0.193333333333333,0.22608000575441,0.145
"24",0,0,0.155
"25",0.2,0.199999999999998,0.145
"26",0.2,0.218843310391417,0.1625
"27",0,0,0.11
"28",0.186486486486486,0.275760383248178,0.175
"29",0,0,0.1475
"30",0.309090909090909,0.345822764743524,0.1675
"31",0,0,0.15
"32",0.1,0.099999999999999,0.1525
"33",0.590909090909091,0.649247920475007,0.1525
"34",0.138461538461538,0.158385039569626,0.165
"35",0,0,0.1425
"36",0.19,0.210229986593623,0.1625
"37",0.356730769230769,0.396469256625805,0.1425
"38",0,0,0.1375
"39",0.342307692307692,0.375159639023817,0.15
"40",0.225,0.277876530551723,0.1625
"41",0,0,0.1525
"42",0,0,0.1525
"43",0.220689655172414,0.300150795114209,0.17
"44",0.244444444444444,0.267475157145065,0.175
"45",0,0,0.1575
"46",0,0,0.165
"47",0,0,0.1475
"48",0.135714285714286,0.156964605772236,0.1175
"49",0.35,0.395958867685043,0.14
"50",0,0,0.14
"51",0.325,0.419082067744088,0.15
"52",0,0,0.17
"53",0,0,0.17
"54",0,0,0.1375
"55",0.29,0.318893525014599,0.135
"56",0,0,0.135
"57",0,0,0.125
"58",0.177272727272727,0.22372261900987,0.15
"59",0.36,0.376653336498903,0.1325
"60",0,0,0.1475
"61",0.348351648351648,0.416402764234658,0.16
"62",0.153846153846154,0.175983377299584,0.1275
"63",0.14,0.154906305911091,0.13
"64",0,0,0.145
"65",0.185714285714286,0.249919909502612,0.1825
"66",0.31047619047619,0.347451512204372,0.1725
"67",0.24,0.251102224332602,0.165
"68",0.759020979020979,0.849919341565,0.17
"69",0,0,0.17
"70",0.166666666666667,0.182369425326181,0.125
"71",0.225,0.266014411157274,0.135
"72",0.2,0.223767671304633,0.19
"73",0,0,0.1925
"74",0.175,0.189361705489845,0.15
"75",0.146153846153846,0.167184208434605,0.17
"76",0,0,0.145
"77",0.192307692307692,0.21997922162448,0.145
"78",0.246666666666667,0.288446903893558,0.155
"79",0.22,0.243424195003142,0.165
"80",0,0,0.12
"81",0.288888888888889,0.316107003898713,0.1925
"82",0,0,0.1675
"83",0,0,0.1275
"84",0,0,0.175
"85",0,0,0.1425
"86",0.36,0.377035778184102,0.125
"87",0,0,0.1425
"88",0.15,0.16231003327701,0.1325
"89",0,0,0.1275
"90",0,0,0.16
"91",0.1,0.099999999999999,0.1425
"92",0.344755244755245,0.389579790817643,0.1675
"93",0,0,0.15
"94",0,0,0.1625
"95",0,0,0.13
"96",0.15,0.155180417399337,0.16
"97",0.153846153846154,0.175983377299584,0.1675
"98",0.1375,0.148784197170592,0.1325
"99",0,0,0.15
"100",0.181818181818182,0.203425155731484,0.1225
"101",0.214285714285714,0.229290927346803,0.1525
"102",0,0,0.145
"103",0,0,0.165
"104",0.2,0.21641337770268,0.145
"105",0,0,0.13
"106",0,0,0.12
"107",0.177777777777778,0.194527387014593,0.14
"108",0,0,0.145
"109",0.188235294117647,0.224998080559587,0.145
"110",0.1,0.101140684410646,0.1625
"111",0,0,0.16
"112",0,0,0.1375
"113",0.136363636363636,0.152568866798613,0.1425
"114",0.208333333333333,0.268642351118005,0.1475
"115",0.1,0.099999999999999,0.145
"116",0,0,0.145
"117",0,0,0.14
"118",0.655952380952381,0.732770830771102,0.1875
"119",0.191666666666667,0.216834618018,0.145
"120",0.26,0.272027409693652,0.16
"121",0,0,0.185
