"","HH","TH","Truth"
"1",0,0,0.1075
"2",0,0,0.18
"3",0.1,0.099999999999999,0.16
"4",0.17,0.18810051432061,0.16
"5",0.381818181818182,0.427192827036117,0.1525
"6",0.271428571428571,0.283432741877442,0.11
"7",0.15,0.165971042047597,0.1125
"8",0.192857142857143,0.223054966097388,0.18
"9",0,0,0.135
"10",0,0,0.1625
"11",0,0,0.1575
"12",0,0,0.1375
"13",0.146153846153846,0.167184208434605,0.145
"14",0.1,0.099999999999999,0.125
"15",0,0,0.125
"16",0.133333333333333,0.150841473403826,0.165
"17",0.434782608695652,0.554651783710444,0.1575
"18",0,0,0.1275
"19",0,0,0.125
"20",0,0,0.125
"21",0.24,0.251102224332602,0.145
"22",0,0,0.1575
"23",0,0,0.155
"24",0,0,0.1275
"25",0,0,0.1575
"26",0.15,0.173487195853524,0.1625
"27",0,0,0.115
"28",0.216666666666667,0.245117394281217,0.1675
"29",0.17,0.18810051432061,0.1475
"30",0.191666666666667,0.216834618018,0.2
"31",0.2,0.202281368821292,0.1425
"32",0.25,0.258634028998895,0.1375
"33",0,0,0.1675
"34",0.158333333333333,0.179124249667043,0.1525
"35",0.2,0.233875868021804,0.15
"36",0,0,0.1375
"37",0.223529411764706,0.26718522066451,0.1425
"38",0,0,0.1175
"39",0,0,0.145
"40",0.2,0.218843310391417,0.1525
"41",0,0,0.135
"42",0.3,0.31742656830164,0.12
"43",0,0,0.1575
"44",0,0,0.13
"45",0.133333333333333,0.145895540260945,0.14
"46",0.1875,0.202887541596262,0.145
"47",0.1,0.099999999999999,0.16
"48",0.43,0.469681972585466,0.15
"49",0.138461538461538,0.158385039569626,0.145
"50",0,0,0.1575
"51",0.170588235294118,0.203904510507126,0.1475
"52",0,0,0.17
"53",0.164705882352941,0.196873320489639,0.1425
"54",0.12,0.132776833638078,0.1375
"55",0.19,0.210229986593623,0.14
"56",0.185714285714286,0.198718803700563,0.1125
"57",0,0,0.1975
"58",0,0,0.13
"59",0.343333333333333,0.403422946525926,0.17
"60",0,0,0.1125
"61",0,0,0.15
"62",0.152380952380952,0.190241671413455,0.1425
"63",0,0,0.125
"64",0,0,0.1525
"65",0,0,0.145
"66",0.28,0.299165250457116,0.1425
"67",0.25,0.3021069054183,0.1475
"68",0,0,0.15
"69",0.1625,0.175835869383427,0.1575
"70",0.223529411764706,0.26718522066451,0.1625
"71",0.176190476190476,0.219966932571807,0.15
"72",0,0,0.1225
